2012-09-07 Wrigley Field, Chicago, IL - /gig:2012-09-07-wrigley-field-chicago-il
2012-09-03 Citizens Bank Park, Philadelphia, PA - /gig:2012-09-03-citizens-bank-park-philadelphia-pa
2012-09-02 Citizens Bank Park, Philadelphia, PA - /gig:2012-09-02-citizens-bank-park-philadelphia-pa
2012-08-29 Vernon Downs Raceway, Vernon, NY - /gig:2012-08-29-downs-raceway-vernon-ny
2012-08-26 Magnetic Hill, Moncton, NB - /gig:2012-08-26-magnetic-hill-moncton-nb
2012-08-18 Gillette Stadium, Foxborough, MA - /gig:2012-08-18-gillette-stadium-foxborough-ma
2012-08-15 Fenway Park, Boston, MA - /gig:2012-08-15-fenway-park-boston-ma
2012-08-14 Fenway Park, Boston, MA - /gig:2012-08-14-fenway-park-boston-ma
2012-07-31 Olympiastadion, Helsinki, Finland - /gig:2012-07-31-olympiastadion-helsinki-finland
2012-07-28 Ullevi, Gothenburg, Sweden - /gig:2012-07-28-ullevi-gothenburg-sweden
2012-07-27 Ullevi, Gothenburg, Sweden - /gig:2012-07-27-ullevi-gothenburg-sweden
2012-07-24 Koengen, Bergen, Norway - /gig:2012-07-24-koengen-bergen-norway
2012-07-23 Koengen, Bergen, Norway - /gig:2012-07-23-koengen-bergen-norway
2012-07-22 Rådhusplassen, Oslo, Norway - /gig:2012-07-22-radhusplassen-oslo-norway
2012-07-21 Valle Hovin Stadion, Oslo, Norway - /gig:2012-07-21-valle-hovin-stadion-oslo-norway
2012-07-18 RDS Arena, Dublin, Ireland - /gig:2012-07-18-rds-arena-dublin-ireland
2012-07-17 RDS Arena, Dublin, Ireland - /gig:2012-07-17-rds-arena-dublin-ireland
2012-07-14 Hyde Park, London, England (Evening) - /gig:2012-07-14-hyde-park-london-england-2
2012-07-14 Hyde Park, London, England (Afternoon) - /gig:2012-07-14-hyde-park-london-england-1
2012-07-12 Ernst-Happel-Stadion, Vienna, Austria - /gig:2012-07-12-ernst-happel-stadion-vienna-austria
2012-07-11 Synot Tip Arena, Prague, Czech Republic - /gig:2012-07-11-synot-tip-arena-prague-czech-republic
2012-07-09 Letzigrund, Zurich, Switzerland - /gig:2012-07-09-letzigrund-zurich-switzerland
2012-07-07 Festivalpladsen, Roskilde, Denmark - /gig:2012-07-07-festivalpladsen-roskilde-denmark
2012-07-05 Palais Omnisports De Paris-Bercy, Paris, France - /gig:2012-07-05-palais-omnisports-paris-france
2012-07-04 Palais Omnisports De Paris-Bercy, Paris, France - /gig:2012-07-04-palais-omnisports-paris-france
2012-06-22 Etihad Stadium, Manchester, England - /gig:2012-06-22-etihad-stadium-manchester-england
2012-06-21 Stadium Of Light, Sunderland, England - /gig:2012-06-21-stadium-of-light-sunderland-england
2012-06-19 Park & Suites Arena, Montpellier, France - /gig:2012-06-19-park-suites-arena-montpellier-france
2012-06-17 Estadio Santiago Bernabéu, Madrid, Spain - /gig:2012-06-17-estadio-santiago-bernabeu-madrid-spain
2012-06-11 Stadio Nereo Rocco, Trieste, Italy - /gig:2012-06-11-stadio-nereo-rocco-trieste-italy
2012-06-10 Stadio Artemio Franchi, Florence, Italy - /gig:2012-06-10-stadio-artemio-franchi-florence-italy
2012-06-07 Stadio Giuseppe Meazza, Milan, Italy - /gig:2012-06-07-stadio-giuseppe-meazza-milan-italy
2012-06-03 Bela Vista Park, Lisbon, Portugal - /gig:2012-06-03-bela-vista-park-lisbon-portugal
2012-06-02 Estadio Anoeta, Donostia-San Sebastián, Spain - /gig:2012-06-02-estadio-anoeta-donostia-san-sebastian-spain
2012-05-30 Olympiastadion, Berlin, Germany - /gig:2012-05-30-olympiastadion-berlin-germany
2012-05-28 Megaland, Landgraaf, The Netherlands - /gig:2012-05-28-megaland-landgraaf-netherlands
2012-05-27 Rheinenergiestadion, Cologne, Germany - /gig:2012-05-27-rheinenergiestadion-cologne-germany
2012-05-25 Commerzbank-Arena, Frankfurt, Germany - /gig:2012-05-25-commerzbank-arena-frankfurt-germany
2012-05-18 Estadi Olímpic Lluís Companys, Barcelona, Spain - /gig:2012-05-18-estadi-olimpic-lluis-companys-barcelona-spain
2012-05-17 Estadi Olímpic Lluís Companys, Barcelona, Spain - /gig:2012-05-17-estadi-olimpic-lluis-companys-barcelona-spain
